,carat,cut,color,clarity,depth,table,x,y,z,price
28550,0.3,Premium,H,VS1,61.0,58.0,4.31,4.28,2.62,675
41595,0.24,Ideal,H,VS2,61.1,56.0,3.99,4.03,2.45,391
46599,0.54,Ideal,D,SI1,60.8,57.0,5.31,5.25,3.21,1786
27076,1.5,Premium,F,VVS2,58.8,58.0,7.51,7.43,4.39,17203
28078,0.4,Ideal,J,VVS2,61.9,55.0,4.74,4.79,2.95,662
48421,0.61,Good,F,VS2,63.0,64.2,5.29,5.32,3.34,1971
10192,1.0,Very Good,I,VS2,64.0,54.0,6.28,6.34,4.04,4739
5113,0.72,Ideal,F,VS1,60.5,56.0,5.82,5.85,3.53,3759
12829,1.02,Fair,E,VS2,66.6,57.0,6.09,6.14,4.07,5350
42311,0.41,Ideal,F,VVS1,60.3,56.0,4.8,4.85,2.91,1295
34007,0.3,Ideal,D,VS1,62.0,54.0,4.34,4.3,2.68,848
27812,0.28,Ideal,G,IF,61.3,57.0,4.25,4.27,2.6,650
33132,0.31,Premium,G,VVS1,60.7,58.0,4.37,4.4,2.66,816
45990,0.53,Ideal,F,VS2,61.3,55.0,5.22,5.25,3.21,1723
36140,0.33,Ideal,E,VS2,61.0,57.0,4.46,4.43,2.71,928
43143,0.52,Very Good,H,VS2,63.5,58.0,5.08,5.09,3.23,1389
20605,1.5,Good,I,VS1,63.3,58.0,7.19,7.24,4.57,8910
9679,1.0,Very Good,I,SI1,58.5,61.0,6.51,6.55,3.82,4649
20809,1.91,Premium,G,SI2,61.9,58.0,7.9,7.84,4.87,9038
19827,1.51,Ideal,I,SI1,61.2,60.0,7.39,7.37,4.52,8396
89,0.32,Premium,I,SI1,62.9,58.0,4.35,4.33,2.73,554
17434,1.0,Premium,G,VS1,62.9,60.0,6.36,6.29,3.98,6989
41392,0.42,Premium,F,VVS2,60.3,59.0,4.86,4.83,2.92,1221
12821,1.21,Very Good,I,SI1,62.8,57.0,6.73,6.8,4.25,5346
44093,0.59,Very Good,G,SI1,59.3,58.0,5.45,5.51,3.25,1555
777,0.75,Fair,F,VS1,55.8,70.0,6.09,5.98,3.37,2859
24907,2.01,Premium,H,VS2,62.8,58.0,7.99,7.9,4.99,13342
1650,0.77,Premium,F,VS2,62.4,59.0,5.85,5.81,3.64,3018
51050,0.61,Ideal,G,VVS2,62.4,53.8,5.42,5.45,3.39,2331
25712,1.35,Ideal,G,IF,62.2,57.0,7.07,7.11,4.41,14616
21643,1.01,Ideal,E,VVS2,62.7,56.0,6.42,6.46,4.04,9735
27782,0.3,Good,G,VS2,58.5,64.0,4.42,4.37,2.57,648
9953,1.0,Very Good,D,SI1,60.1,60.0,6.47,6.55,3.91,4697
34581,0.5,Fair,E,SI2,68.6,56.0,4.87,4.75,3.3,871
39883,0.42,Ideal,G,VVS2,62.1,57.0,4.8,4.77,2.97,1103
216,0.77,Ideal,H,SI1,62.2,56.0,5.83,5.88,3.64,2781
22997,2.3,Premium,I,SI2,61.3,58.0,8.53,8.46,5.21,11051
44953,0.53,Very Good,G,VS1,60.9,56.0,5.24,5.27,3.2,1636
20152,1.22,Ideal,G,VS1,62.5,57.0,6.82,6.77,4.25,8608
13718,0.37,Ideal,I,VS1,60.8,56.0,4.67,4.71,2.85,603
25286,1.82,Premium,I,VS1,61.4,60.0,7.83,7.8,4.8,13939
2412,0.74,Very Good,E,VS2,61.8,58.0,5.79,5.82,3.59,3180
43175,0.64,Very Good,I,SI1,63.0,57.0,5.47,5.52,3.46,1390
35780,0.32,Ideal,F,VVS1,60.3,57.0,4.42,4.44,2.67,912
35285,0.3,Premium,J,VS2,60.6,59.0,4.38,4.34,2.64,473
49001,0.67,Premium,G,VS2,61.0,57.0,5.68,5.63,3.45,2050
33567,0.43,Ideal,D,SI1,61.5,56.0,4.82,4.87,2.98,830
17450,1.01,Very Good,F,VS1,62.8,58.0,6.32,6.39,3.99,6999
18321,1.54,Very Good,J,SI1,61.2,59.0,7.41,7.45,4.55,7453
16286,1.01,Very Good,E,VS2,63.3,58.0,6.38,6.35,4.03,6516
19387,1.2,Premium,G,VS1,62.5,59.0,6.72,6.64,4.19,8056
34342,0.3,Ideal,E,VVS1,62.5,56.0,4.28,4.3,2.68,862
21688,1.56,Ideal,I,SI1,62.5,54.0,7.45,7.37,4.63,9788
30440,0.32,Ideal,G,VVS2,61.1,55.0,4.42,4.45,2.71,730
46871,0.53,Ideal,E,VS2,61.9,55.0,5.22,5.19,3.22,1813
262,0.73,Ideal,E,SI1,62.2,56.0,5.74,5.78,3.58,2791
34506,0.4,Very Good,F,VS1,60.4,58.0,4.75,4.79,2.88,868
45356,0.56,Ideal,D,SI1,61.2,57.0,5.37,5.35,3.28,1664
36312,0.32,Premium,H,VVS1,62.9,58.0,4.37,4.34,2.74,936
39484,0.41,Premium,E,VS1,59.9,58.0,4.83,4.88,2.91,1079
38666,0.38,Ideal,G,VS1,62.1,56.0,4.68,4.63,2.89,1040
23326,1.53,Premium,F,SI1,62.0,56.0,7.47,7.39,4.61,11370
6784,1.02,Premium,H,SI2,61.1,61.0,6.51,6.48,3.97,4113
27353,2.41,Good,I,SI2,57.7,61.0,8.87,8.83,5.11,17923
52159,0.7,Very Good,E,VS2,58.8,56.0,5.79,5.84,3.42,2473
7460,1.05,Premium,H,SI2,63.0,59.0,6.48,6.44,4.07,4234
28676,0.24,Ideal,F,VVS1,60.8,55.0,4.03,4.06,2.46,678
53357,0.7,Premium,G,VS2,58.1,55.0,5.83,5.8,3.38,2657
7353,0.93,Very Good,D,SI2,62.6,57.0,6.2,6.26,3.9,4214
26329,2.05,Premium,I,SI1,61.2,57.0,8.24,8.21,5.03,15837
36303,0.32,Premium,H,VVS1,61.4,58.0,4.42,4.37,2.7,936
45202,0.51,Premium,E,VS2,61.0,60.0,5.12,5.17,3.14,1656
6665,1.11,Premium,G,SI1,60.9,59.0,6.69,6.64,4.07,4096
3440,0.9,Premium,H,SI1,62.8,62.0,6.09,6.05,3.81,3387
45750,0.7,Ideal,I,SI2,61.5,53.0,5.74,5.77,3.54,1702
15332,1.19,Very Good,D,SI2,61.1,58.0,6.84,6.88,4.19,6157
46306,0.3,Premium,E,SI1,62.5,59.0,4.28,4.3,2.68,526
28428,0.3,Ideal,D,VS2,60.6,58.0,4.31,4.33,2.62,670
36994,0.54,Ideal,J,SI1,62.5,54.0,5.22,5.25,3.27,964
40421,0.5,Fair,H,VS1,66.6,58.0,4.95,4.84,3.26,1134
6621,1.12,Premium,G,SI2,61.2,58.0,6.67,6.69,4.09,4084
26490,2.01,Fair,D,SI2,66.9,57.0,7.87,7.76,5.23,16086
36516,0.3,Premium,F,VVS2,62.4,58.0,4.28,4.25,2.66,945
26376,1.5,Premium,F,VS1,62.2,60.0,7.3,7.27,4.53,15851
52689,0.71,Premium,E,SI1,60.1,60.0,5.78,5.73,3.45,2552
46379,0.55,Ideal,G,VS1,61.5,57.0,5.23,5.28,3.23,1763
39350,0.52,Good,I,SI1,63.6,60.0,5.1,5.05,3.23,1073
22126,1.2,Premium,D,VS2,61.1,58.0,6.85,6.83,4.18,10161
53783,0.73,Ideal,E,SI1,62.8,57.0,5.73,5.74,3.6,2728
37056,0.43,Ideal,I,VVS1,62.2,57.0,4.84,4.81,3.0,968
10311,1.1,Ideal,H,SI1,62.5,57.0,6.6,6.56,4.11,4764
1787,0.76,Ideal,H,SI1,61.4,55.0,5.82,5.9,3.6,3050
53174,0.71,Very Good,G,VS1,64.0,56.0,5.65,5.67,3.62,2630
50174,1.03,Good,J,I1,58.2,64.0,6.64,6.69,3.88,2220
918,1.02,Ideal,J,SI2,60.3,54.0,6.53,6.5,3.93,2879
38445,0.35,Ideal,G,VVS1,61.0,56.0,4.56,4.59,2.79,1028
39279,0.34,Good,H,SI1,63.7,57.0,4.44,4.45,2.83,490
52191,0.7,Fair,G,VS2,64.9,57.0,5.55,5.54,3.6,2479
46195,0.5,Ideal,F,VS2,60.9,57.0,5.14,5.16,3.14,1749
3256,0.74,Premium,E,VS1,62.8,59.0,5.76,5.68,3.59,3357
12584,1.11,Premium,G,SI1,60.1,60.0,6.73,6.68,4.03,5281
36671,0.31,Premium,H,IF,60.8,59.0,4.39,4.36,2.66,949
38227,0.4,Ideal,H,VVS1,62.0,54.0,4.72,4.76,2.94,1017
46328,0.51,Ideal,E,VS1,61.5,56.0,5.11,5.16,3.16,1758
26438,2.01,Good,G,SI2,63.6,59.0,8.0,7.95,5.07,15977
21207,1.51,Ideal,I,VS2,61.6,57.0,7.34,7.28,4.5,9352
10327,0.91,Fair,D,VS2,64.5,55.0,6.24,6.07,3.97,4765
43582,0.5,Premium,D,VS2,62.2,60.0,5.15,5.05,3.17,1431
36837,0.37,Premium,G,VS1,61.5,58.0,4.6,4.57,2.82,957
16971,1.01,Very Good,G,VS1,58.8,58.0,6.52,6.61,3.86,6777
681,0.75,Ideal,J,SI1,61.5,56.0,5.83,5.87,3.6,2850
49088,0.53,Premium,E,VS2,59.6,58.0,5.36,5.32,3.18,2061
7221,0.89,Ideal,D,SI2,60.8,56.0,6.22,6.25,3.79,4192
6793,0.9,Good,I,VVS1,63.6,58.0,6.14,6.1,3.89,4114
42060,0.48,Premium,H,VS1,60.7,61.0,5.04,5.01,3.05,1270
3675,0.9,Very Good,G,SI2,61.1,55.0,6.21,6.26,3.81,3445
44502,0.9,Premium,H,I1,58.8,62.0,6.32,6.26,3.7,1599
43073,0.56,Very Good,D,SI1,62.2,63.0,5.23,5.28,3.27,1378
44413,0.52,Ideal,G,VS2,61.9,55.0,5.15,5.19,3.2,1586
6610,0.74,Ideal,E,VVS2,62.2,57.0,5.78,5.83,3.61,4082
7769,0.81,Premium,D,VS1,62.3,58.0,5.94,6.0,3.72,4284
51488,0.71,Ideal,F,SI1,62.9,57.0,5.71,5.65,3.57,2381
5976,1.2,Premium,J,SI2,59.6,62.0,6.95,6.9,4.13,3951
31944,0.3,Premium,F,VS2,61.4,60.0,4.34,4.29,2.65,776
14802,1.19,Very Good,E,SI1,58.0,63.0,6.9,6.97,4.02,5956
9051,0.34,Premium,I,SI1,60.0,58.0,4.55,4.51,2.72,589
22500,1.22,Ideal,D,VS2,61.7,56.0,6.89,6.86,4.24,10538
39164,0.45,Good,E,SI1,63.9,57.0,4.86,4.81,3.09,1063
9244,1.01,Premium,H,VS2,61.9,62.0,6.45,6.37,3.97,4559
9458,1.38,Good,J,SI2,63.7,58.0,7.06,7.01,4.48,4598
14334,0.92,Ideal,F,VS2,61.2,56.0,6.25,6.3,3.84,5805
11259,0.91,Premium,E,VS1,62.7,59.0,6.19,6.15,3.87,4969
15110,1.25,Very Good,E,SI2,60.8,55.0,6.94,7.0,4.24,6073
30996,0.41,Ideal,I,VS2,61.5,55.0,4.8,4.82,2.96,747
35234,0.41,Ideal,I,VVS2,60.7,57.0,4.81,4.84,2.93,894
24310,2.11,Premium,J,SI2,61.0,58.0,8.29,8.2,5.03,12554
41796,0.5,Ideal,E,SI1,60.6,57.0,5.19,5.14,3.13,1250
35717,0.3,Premium,D,VS2,61.0,58.0,4.34,4.32,2.64,911
31067,0.33,Premium,G,VVS2,61.0,58.0,4.44,4.48,2.72,752
10129,1.32,Premium,I,VS1,62.4,58.0,7.01,6.96,4.36,4719
18197,1.57,Ideal,I,SI2,62.8,57.0,7.39,7.36,4.63,7385
42276,0.23,Very Good,D,VVS2,61.9,60.0,3.9,3.95,2.43,505
19388,1.09,Premium,F,VS1,60.9,58.0,6.63,6.67,4.05,8057
2895,0.91,Good,G,SI2,63.6,59.0,6.15,6.11,3.9,3282
15758,1.25,Ideal,G,SI2,61.5,56.0,7.0,6.92,4.28,6300
12719,0.29,Very Good,D,VVS2,59.1,61.0,4.33,4.37,2.57,600
17457,1.01,Very Good,D,VS2,60.6,56.0,6.45,6.51,3.93,7001
43789,0.56,Premium,G,SI1,60.2,59.0,5.36,5.34,3.22,1441
52605,0.61,Ideal,G,VVS1,62.7,58.0,5.39,5.43,3.39,2544
51875,0.71,Good,I,VVS2,63.1,58.0,5.64,5.71,3.58,2428
40779,0.35,Ideal,D,VVS1,61.5,57.0,4.52,4.55,2.79,1167
37208,0.34,Ideal,G,IF,61.3,56.0,4.52,4.55,2.78,974
24541,2.01,Premium,I,SI1,60.5,58.0,8.2,8.06,4.92,12829
18736,1.58,Premium,J,SI1,59.8,58.0,7.61,7.57,4.54,7654
16810,1.02,Ideal,E,VS2,60.7,56.0,6.58,6.61,4.0,6704
5389,0.3,Very Good,G,SI1,59.5,63.0,4.32,4.29,2.56,574
212,0.71,Ideal,F,VS2,62.1,54.0,5.68,5.72,3.54,2780
8805,1.01,Very Good,I,SI1,64.2,55.0,6.28,6.34,4.05,4475
15903,1.02,Ideal,G,VS2,60.5,57.0,6.51,6.55,3.95,6356
38874,0.4,Premium,F,VS1,62.5,59.0,4.69,4.66,2.92,1050
41519,0.32,Premium,F,VVS1,60.7,58.0,4.4,4.43,2.68,1235
7677,0.74,Good,D,VVS1,59.2,62.6,5.85,5.87,3.47,4274
5111,0.72,Ideal,F,VS1,61.3,56.0,5.74,5.78,3.54,3759
1606,0.75,Ideal,H,SI1,61.9,55.0,5.82,5.85,3.61,3011
24402,1.51,Premium,E,SI1,58.3,59.0,7.52,7.47,4.37,12644
43501,0.53,Good,E,VS2,58.6,62.0,5.26,5.32,3.1,1422
12114,1.25,Premium,I,SI2,60.5,58.0,7.0,6.96,4.22,5166
44955,0.51,Very Good,E,VS1,62.0,61.0,5.11,5.14,3.18,1636
3395,0.32,Ideal,I,VVS2,62.2,54.5,4.38,4.42,2.74,567
47826,0.55,Ideal,H,IF,62.3,54.0,5.25,5.28,3.28,1905
20007,1.02,Ideal,E,VS1,62.6,56.0,6.45,6.42,4.03,8545
20124,1.2,Ideal,F,VS2,61.2,53.0,6.88,6.85,4.2,8588
22108,1.0,Premium,E,VVS1,60.3,54.0,6.59,6.47,3.94,10134
3372,0.3,Ideal,H,SI1,62.0,58.0,4.25,4.33,2.66,407
41018,0.55,Premium,G,SI2,60.3,58.0,5.35,5.33,3.22,1186
31216,0.32,Ideal,D,SI1,62.6,55.0,4.39,4.36,2.74,756
19475,1.26,Premium,G,VS2,60.1,61.0,7.04,6.97,4.21,8113
16295,1.22,Ideal,F,SI2,62.5,56.0,6.85,6.81,4.27,6518
2808,0.88,Ideal,I,SI1,63.2,56.0,6.04,6.09,3.83,3264
45591,0.52,Ideal,E,VS2,60.9,57.0,5.21,5.23,3.18,1689
42803,0.52,Ideal,G,SI1,62.2,54.0,5.18,5.2,3.23,1352
4820,0.9,Premium,F,SI2,60.5,57.0,6.23,6.2,3.76,3704
29680,0.32,Ideal,D,VS1,61.1,56.0,4.44,4.47,2.72,707
44495,0.51,Very Good,D,VS2,63.7,55.0,5.05,5.09,3.23,1599
806,0.84,Premium,F,SI2,62.3,59.0,6.06,6.01,3.76,2863
16838,1.56,Ideal,H,SI2,62.3,55.0,7.39,7.35,4.59,6716
52967,0.24,Ideal,F,VVS2,62.6,57.0,3.93,3.96,2.47,552
38410,0.35,Premium,G,VVS2,62.2,58.0,4.54,4.49,2.81,1024
29094,0.36,Premium,D,SI2,60.0,58.0,4.62,4.58,2.76,689
42650,0.4,Premium,G,IF,59.8,58.0,4.79,4.85,2.88,1333
17923,1.52,Very Good,J,SI1,62.3,57.0,7.32,7.38,4.58,7239
40939,0.25,Very Good,I,VVS2,62.1,56.0,4.03,4.05,2.51,500
19437,1.04,Very Good,F,VS1,61.6,60.0,6.49,6.54,4.01,8090
583,0.73,Ideal,F,VS1,61.2,56.0,5.89,5.81,3.58,2835
6323,1.11,Very Good,H,SI2,61.5,59.0,6.56,6.61,4.05,4029
35021,0.4,Premium,E,SI1,62.0,61.0,4.71,4.67,2.91,882
30520,0.26,Ideal,E,VVS2,61.3,57.0,4.12,4.15,2.53,733
16504,2.1,Fair,G,I1,67.4,59.0,7.82,7.76,5.24,6597
48651,0.36,Premium,G,SI1,61.8,59.0,4.55,4.57,2.82,537
45002,0.57,Very Good,F,VS2,62.0,54.0,5.31,5.34,3.3,1637
6441,0.79,Ideal,H,IF,61.3,56.0,5.96,5.98,3.66,4046
31529,0.34,Ideal,E,SI1,62.9,56.0,4.48,4.45,2.81,765
4500,0.9,Premium,H,VS2,60.0,59.0,6.23,6.16,3.72,3629
5966,0.9,Very Good,F,SI1,60.4,60.0,6.23,6.29,3.78,3950
36617,0.32,Ideal,D,SI2,59.8,57.0,4.4,4.46,2.65,477
10722,0.31,Good,D,SI2,63.6,54.0,4.34,4.31,2.75,593
35555,0.35,Premium,G,VS1,60.7,61.0,4.58,4.54,2.77,906
51671,0.72,Ideal,E,SI2,61.9,55.0,5.76,5.78,3.57,2398
53379,0.73,Ideal,E,SI1,60.1,56.0,5.91,5.87,3.54,2661
31622,0.3,Ideal,H,SI1,61.9,57.0,4.3,4.32,2.67,450
2158,0.75,Ideal,E,SI2,62.6,55.0,5.72,5.79,3.6,3129
1238,1.01,Fair,G,SI2,67.1,59.0,6.27,6.19,4.18,2942
4456,1.01,Good,I,VS2,63.6,57.0,6.3,6.21,3.98,3620
52346,0.55,Very Good,E,VVS2,60.6,56.0,5.33,5.36,3.24,2499
27990,0.3,Ideal,E,VS2,62.0,55.0,4.25,4.3,2.65,658
23483,1.99,Premium,G,SI2,59.1,61.0,8.08,8.05,4.77,11486
53224,0.5,Ideal,D,VVS2,61.8,54.1,5.1,5.14,3.16,2639
33597,0.37,Ideal,G,VS2,62.2,57.0,4.64,4.59,2.87,833
39147,0.32,Ideal,F,VVS1,61.1,56.0,4.45,4.42,2.71,1061
1132,0.72,Ideal,F,SI1,61.0,55.0,5.78,5.85,3.55,2920
12677,1.09,Premium,I,VS2,60.1,59.0,6.74,6.67,4.03,5306
8366,0.9,Very Good,G,VS2,58.8,61.0,6.28,6.3,3.7,4400
49952,0.3,Premium,H,SI1,60.8,61.0,4.3,4.25,2.6,540
10629,1.15,Premium,H,SI2,61.6,60.0,6.75,6.72,4.15,4830
31214,0.32,Premium,D,SI1,61.4,58.0,4.42,4.38,2.7,756
40838,0.5,Premium,H,SI1,62.9,58.0,5.04,5.01,3.16,1172
36525,0.4,Premium,E,SI1,62.0,55.0,4.74,4.68,2.92,945
47494,0.5,Ideal,G,VVS1,62.1,53.5,5.08,5.13,3.17,1865
3874,0.83,Premium,E,SI1,60.7,58.0,6.06,6.09,3.69,3482
7302,1.2,Premium,D,SI2,60.2,60.0,6.94,6.81,4.14,4203
29045,0.4,Very Good,E,SI1,61.4,58.0,4.77,4.81,2.94,687
7401,0.33,Ideal,H,VS1,61.9,56.0,4.44,4.48,2.76,579
45034,0.54,Good,G,VS2,56.9,62.0,5.42,5.4,3.08,1637
12186,1.01,Fair,E,SI1,56.8,61.0,6.59,6.62,3.75,5185
2497,1.01,Fair,F,SI1,66.1,60.0,6.15,6.13,4.06,3197
21047,0.31,Ideal,H,VVS2,62.4,57.0,4.32,4.36,2.71,625
29688,0.4,Very Good,E,SI1,62.9,58.0,4.71,4.74,2.97,707
37543,0.39,Ideal,F,VVS2,61.3,56.0,4.73,4.77,2.91,988
35644,0.31,Ideal,G,VVS2,61.4,56.0,4.38,4.35,2.68,907
10060,0.31,Ideal,H,SI1,61.5,56.0,4.36,4.39,2.69,591
35206,0.33,Premium,I,IF,62.0,58.0,4.46,4.44,2.76,891
20010,0.3,Very Good,H,SI1,61.3,61.0,4.25,4.27,2.61,421
47969,0.52,Ideal,D,VS2,61.8,55.0,5.19,5.16,3.2,1919
40588,0.41,Premium,E,VS1,60.6,59.0,4.8,4.77,2.9,1153
2530,0.7,Ideal,G,VVS2,61.0,56.0,5.74,5.77,3.51,3205
18154,1.09,Ideal,G,VS2,61.2,56.0,6.62,6.64,4.06,7357
16563,1.01,Premium,G,VS1,62.3,59.0,6.42,6.38,3.99,6618
31891,0.3,Ideal,G,VS1,61.9,56.0,4.34,4.29,2.67,776
42133,0.5,Premium,D,SI1,61.3,60.0,5.15,5.1,3.14,1279
9069,1.13,Premium,G,SI2,60.0,61.0,6.78,6.71,4.05,4518
49573,0.59,Ideal,G,VVS2,61.0,57.0,5.44,5.41,3.31,2131
11919,1.3,Good,J,SI2,62.9,56.0,6.9,6.94,4.35,5124
31395,0.45,Very Good,G,SI2,59.7,61.0,4.95,5.0,2.97,764
3064,0.73,Ideal,E,VS1,62.3,56.0,5.8,5.75,3.6,3311
42323,0.41,Ideal,D,VVS2,62.3,55.0,4.76,4.77,2.97,1295
10406,0.31,Good,G,SI1,63.6,57.0,4.33,4.29,2.74,593
22405,1.52,Good,H,VS2,63.3,57.0,7.32,7.33,4.64,10428
30404,0.32,Ideal,G,VVS2,61.4,55.0,4.4,4.43,2.71,730
15008,1.26,Ideal,G,SI2,60.9,55.0,7.05,7.0,4.28,6046
9422,1.01,Good,G,SI1,63.9,57.0,6.3,6.37,4.05,4588
3234,0.9,Very Good,G,SI2,63.1,59.0,6.11,6.16,3.87,3353
53656,0.76,Premium,D,SI2,58.8,57.0,6.03,5.98,3.51,2706
41561,0.5,Ideal,G,SI1,61.7,57.0,5.06,5.08,3.13,1237
48146,0.7,Premium,J,VS2,61.2,60.0,5.73,5.7,3.5,1940
17129,1.21,Ideal,H,VS1,60.7,57.0,6.86,6.89,4.17,6834
18486,1.0,Very Good,G,VVS2,62.3,58.0,6.39,6.45,4.0,7528
27760,0.32,Premium,H,VS2,60.5,59.0,4.43,4.39,2.67,648
22755,2.01,Fair,H,SI2,66.7,56.0,7.8,7.76,5.19,10772
4589,1.01,Good,J,VS2,62.8,58.0,6.3,6.35,3.97,3655
29660,0.35,Premium,F,VS2,61.5,59.0,4.53,4.55,2.79,706
23680,1.62,Premium,F,SI1,60.1,58.0,7.63,7.59,4.57,11733
31451,0.34,Ideal,G,VS2,61.1,55.0,4.55,4.52,2.77,765
8185,1.2,Ideal,I,SI1,62.2,57.0,6.8,6.77,4.22,4368
32000,0.28,Very Good,D,VVS2,62.2,52.0,4.21,4.25,2.63,777
41076,0.41,Premium,F,VVS2,60.3,58.0,4.83,4.79,2.9,1192
49404,0.58,Premium,E,VS1,60.7,58.0,5.41,5.36,3.27,2105
47848,0.53,Premium,E,VS2,58.5,61.0,5.33,5.26,3.1,1908
35056,0.47,Ideal,I,VS2,62.1,54.0,4.98,5.0,3.1,884
47344,0.5,Premium,D,VS2,61.1,58.0,5.12,5.09,3.12,1845
41649,0.44,Good,D,VS2,60.6,64.0,4.97,4.89,2.99,1238
51809,0.71,Ideal,D,SI2,62.3,56.0,5.68,5.72,3.55,2416
32279,0.3,Ideal,G,VVS1,62.3,54.0,4.31,4.33,2.69,789
41156,0.48,Good,G,VS1,58.6,62.0,5.14,5.2,3.03,1199
52778,0.78,Very Good,E,SI1,63.4,56.0,5.84,5.9,3.72,2565
27850,0.34,Ideal,H,VVS2,60.9,55.0,4.52,4.54,2.75,652
13945,1.1,Premium,H,VS1,61.3,58.0,6.66,6.61,4.07,5673
7569,0.73,Ideal,D,VVS2,62.2,56.0,5.79,5.73,3.58,4252
5423,1.01,Good,I,SI2,62.6,59.0,6.34,6.43,4.0,3823
6449,0.91,Very Good,F,SI1,62.3,60.0,6.08,6.15,3.81,4049
2392,0.32,Ideal,H,VS1,61.1,56.0,4.44,4.46,2.72,561
22204,1.09,Ideal,F,VVS2,62.1,56.0,6.55,6.59,4.08,10246
9276,1.01,Very Good,D,SI2,61.4,60.0,6.33,6.38,3.9,4564
25962,2.01,Good,I,VS2,63.8,58.0,7.82,7.89,5.01,15147
19178,1.46,Premium,G,SI2,59.5,59.0,7.34,7.29,4.35,7931
9393,1.0,Good,F,SI1,64.1,60.0,6.25,6.19,3.99,4586
52662,0.71,Very Good,I,VVS1,63.0,58.0,5.66,5.68,3.57,2549
29824,0.31,Very Good,E,VVS2,61.5,55.0,4.37,4.41,2.7,710
7416,0.98,Good,F,SI1,56.8,64.0,6.68,6.52,3.75,4226
16110,1.25,Good,F,VS2,63.9,58.0,6.76,6.71,4.31,6440
42660,0.4,Ideal,G,IF,62.2,55.0,4.73,4.76,2.95,1333
48593,0.7,Good,I,SI1,63.6,55.0,5.62,5.58,3.56,1995
29172,0.4,Very Good,E,SI1,62.2,56.0,4.71,4.74,2.94,694
44197,0.51,Ideal,D,SI1,61.7,55.0,5.11,5.16,3.17,1569
16632,1.12,Ideal,G,VS2,62.0,56.0,6.64,6.69,4.13,6652
30384,0.33,Ideal,G,VVS2,61.3,56.0,4.46,4.48,2.74,730
28863,0.36,Ideal,H,SI1,61.4,56.0,4.56,4.59,2.81,684
50,0.24,Very Good,F,SI1,60.9,61.0,4.02,4.03,2.45,404
18147,1.01,Premium,G,IF,61.3,58.0,6.48,6.4,3.95,7352
12583,1.07,Ideal,H,SI1,61.0,56.0,6.6,6.68,4.05,5281
